Participant._id_in_session,Participant.label,Participant._current_page,Participant._current_app_name,Participant._round_number,Participant._current_page_name,Participant.status,Participant.last_request_succeeded,Participant.ip_address,Participant.time_started,Participant.exclude_from_data_analysis,Participant.name,Participant.session,Participant.visited,Participant.mturk_worker_id,Participant.mturk_assignment_id,Player.id_in_group,Player.role,Player.id,Player.payoff,Player.is_winner,Player.guess_value,Player.training_question_1_win_pick,Player.training_question_1_my_payoff,Group.id,Group.two_third_guesses,Group.best_guess,Group.tie,Subsession.id,Subsession.round_number,Session.code,Session.label,Session.experimenter_name,Session.real_world_currency_per_point,Session.time_scheduled,Session.time_started,Session.mturk_HITId,Session.mturk_HITGroupId,Session.participation_fee,Session.comment,Session.special_category
P1,,5/5 pages,beautyGT,1,ResultsWaitPage,Playing,1,192.168.110.224,2016-05-11 17:00:13.807996+00:00,0,53,Session object,1,,,1,,1,0.0,0,27,,,1,19.76543209876543,19.0,0,1,1,gepedona,,,0.01000,,,,,10.00,,
P2,,4/5 pages,beautyGT,1,ResultsWaitPage,Disconnected,0,192.168.110.209,2016-05-11 17:00:17.400202+00:00,0,54,Session object,1,,,2,,2,0.0,0,67,,,1,19.76543209876543,19.0,0,1,1,gepedona,,,0.01000,,,,,10.00,,
P3,,6/5 pages,beautyGT,1,Results,Disconnected,1,192.168.110.193,2016-05-11 17:00:21.518437+00:00,0,55,Session object,1,,,3,,3,0.0,0,6,,,1,19.76543209876543,19.0,0,1,1,gepedona,,,0.01000,,,,,10.00,,
P4,,5/5 pages,beautyGT,1,Results,Playing,1,192.168.110.198,2016-05-11 17:00:25.119643+00:00,0,56,Session object,1,,,4,,4,0.0,0,18,,,1,19.76543209876543,19.0,0,1,1,gepedona,,,0.01000,,,,,10.00,,
P5,,6/5 pages,beautyGT,1,Results,Disconnected,1,192.168.110.194,2016-05-11 17:00:26.236707+00:00,0,57,Session object,1,,,5,,5,0.0,0,86,,,1,19.76543209876543,19.0,0,1,1,gepedona,,,0.01000,,,,,10.00,,
P6,,6/5 pages,beautyGT,1,Results,Disconnected,1,192.168.110.241,2016-05-11 17:00:26.308711+00:00,0,58,Session object,1,,,6,,6,0.0,0,35,,,1,19.76543209876543,19.0,0,1,1,gepedona,,,0.01000,,,,,10.00,,
P7,,5/5 pages,beautyGT,1,Results,Playing,1,192.168.110.200,2016-05-11 17:00:27.150760+00:00,0,59,Session object,1,,,7,,7,0.0,0,13,,,1,19.76543209876543,19.0,0,1,1,gepedona,,,0.01000,,,,,10.00,,
P8,,5/5 pages,beautyGT,1,Results,Playing,1,192.168.110.213,2016-05-11 17:00:26.910746+00:00,0,60,Session object,1,,,8,,8,0.0,0,27,,,1,19.76543209876543,19.0,0,1,1,gepedona,,,0.01000,,,,,10.00,,
P9,,6/5 pages,beautyGT,1,Results,Disconnected,1,192.168.110.233,2016-05-11 17:00:28.342828+00:00,0,61,Session object,1,,,9,,9,0.0,0,45,,,1,19.76543209876543,19.0,0,1,1,gepedona,,,0.01000,,,,,10.00,,
P10,,5/5 pages,beautyGT,1,Results,Playing,1,192.168.110.246,2016-05-11 17:00:32.163046+00:00,0,62,Session object,1,,,10,,10,0.0,0,44,,,1,19.76543209876543,19.0,0,1,1,gepedona,,,0.01000,,,,,10.00,,
P11,,5/5 pages,beautyGT,1,Results,Playing,1,192.168.110.240,2016-05-11 17:00:36.170276+00:00,0,63,Session object,1,,,11,,11,0.0,0,12,,,1,19.76543209876543,19.0,0,1,1,gepedona,,,0.01000,,,,,10.00,,
P12,,5/5 pages,beautyGT,1,ResultsWaitPage,Playing,1,192.168.110.239,2016-05-11 17:00:37.512352+00:00,0,64,Session object,1,,,12,,12,0.0,0,1,,,1,19.76543209876543,19.0,0,1,1,gepedona,,,0.01000,,,,,10.00,,
P13,,5/5 pages,beautyGT,1,Results,Playing,1,192.168.110.219,2016-05-11 17:00:39.855486+00:00,0,65,Session object,1,,,13,,13,0.0,0,11,,,1,19.76543209876543,19.0,0,1,1,gepedona,,,0.01000,,,,,10.00,,
P14,,5/5 pages,beautyGT,1,Results,Playing,1,192.168.110.203,2016-05-11 17:00:40.033496+00:00,0,66,Session object,1,,,14,,14,0.0,0,5,,,1,19.76543209876543,19.0,0,1,1,gepedona,,,0.01000,,,,,10.00,,
P15,,5/5 pages,beautyGT,1,Results,Playing,1,192.168.110.214,2016-05-11 17:00:41.580585+00:00,0,67,Session object,1,,,15,,15,0.0,0,1,,,1,19.76543209876543,19.0,0,1,1,gepedona,,,0.01000,,,,,10.00,,
P16,,5/5 pages,beautyGT,1,Results,Playing,1,192.168.110.231,2016-05-11 17:00:43.232679+00:00,0,68,Session object,1,,,16,,16,0.0,0,45,,,1,19.76543209876543,19.0,0,1,1,gepedona,,,0.01000,,,,,10.00,,
P17,,4/5 pages,beautyGT,1,ResultsWaitPage,Disconnected,1,192.168.110.239,2016-05-11 17:00:43.203678+00:00,0,69,Session object,1,,,17,,17,0.0,0,0,,,1,19.76543209876543,19.0,0,1,1,gepedona,,,0.01000,,,,,10.00,,
P18,,5/5 pages,beautyGT,1,Results,Disconnected,1,192.168.110.212,2016-05-11 17:00:48.595986+00:00,0,70,Session object,1,,,18,,18,0.0,0,25,,,1,19.76543209876543,19.0,0,1,1,gepedona,,,0.01000,,,,,10.00,,
